Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
2247,5.2,2.5,4.3,1.3,Iris-versicolor
2248,6.2,3.0,4.7,1.9,Iris-virginica
2249,6.2,3.3,4.8,1.7,Iris-versicolor
2250,6.6,2.7,5.7,2.1,Iris-virginica
2251,7.2,2.7,6.4,2.1,Iris-virginica
2252,5.8,2.5,3.9,1.3,Iris-versicolor
2253,6.3,3.0,4.7,1.4,Iris-versicolor
2254,5.9,2.5,4.7,1.6,Iris-virginica
2255,6.9,2.9,6.0,2.3,Iris-virginica
2256,6.7,3.4,5.4,2.0,Iris-virginica
2257,7.2,2.9,6.0,2.2,Iris-virginica
2258,6.7,2.8,4.8,1.4,Iris-versicolor
2259,5.5,3.7,1.6,0.3,Iris-setosa
2260,5.2,3.5,1.6,0.3,Iris-setosa
2261,6.2,2.7,4.5,1.3,Iris-versicolor
2262,5.6,2.9,4.2,1.3,Iris-versicolor
2263,6.0,2.8,5.0,1.7,Iris-virginica
2264,4.6,3.4,1.3,0.3,Iris-setosa
2265,5.2,3.1,1.2,0.3,Iris-setosa
2266,6.6,3.0,6.2,1.8,Iris-virginica
2267,6.0,2.7,4.5,1.2,Iris-versicolor
2268,5.4,2.7,4.4,2.0,Iris-virginica
2269,5.3,3.6,1.2,0.2,Iris-setosa
2270,5.4,3.6,1.4,0.2,Iris-setosa
2271,7.2,3.1,5.7,2.0,Iris-virginica
2272,6.4,2.5,4.7,1.2,Iris-versicolor
2273,6.0,2.8,4.4,1.2,Iris-versicolor
2274,6.9,2.9,6.0,2.3,Iris-virginica
2275,7.1,2.8,4.7,1.4,Iris-versicolor
2276,4.9,2.5,3.7,1.2,Iris-versicolor
2277,6.5,3.0,5.3,2.1,Iris-virginica
2278,5.0,2.5,3.9,1.3,Iris-versicolor
2279,5.5,2.3,5.3,2.3,Iris-virginica
2280,6.4,3.3,4.7,1.5,Iris-versicolor
2281,5.4,3.7,1.5,0.4,Iris-setosa
2282,5.0,3.5,1.3,0.3,Iris-setosa
2283,6.4,2.7,4.7,1.5,Iris-versicolor
2284,6.6,3.5,4.7,1.6,Iris-versicolor
2285,5.3,3.4,1.8,0.3,Iris-setosa
2286,5.2,3.4,1.4,0.2,Iris-setosa
2287,6.2,3.0,4.9,2.1,Iris-virginica
2288,5.4,2.6,4.3,1.3,Iris-versicolor
2289,6.4,3.3,4.6,1.5,Iris-versicolor
2290,7.9,3.3,6.5,2.4,Iris-virginica
2291,5.9,3.8,1.3,0.3,Iris-setosa
2292,7.3,2.8,6.1,1.9,Iris-virginica
2293,4.9,3.2,1.4,0.1,Iris-setosa
2294,4.8,3.6,1.7,0.2,Iris-setosa
2295,5.6,2.6,4.5,1.4,Iris-versicolor
2296,6.6,2.7,5.5,1.7,Iris-virginica
2297,6.1,2.9,4.8,2.0,Iris-virginica
2298,5.1,3.5,1.5,0.0,Iris-setosa
2299,6.2,3.0,4.4,1.4,Iris-versicolor
2300,4.8,3.5,1.2,0.3,Iris-setosa
2301,4.9,3.5,1.5,0.3,Iris-setosa
2302,5.9,2.9,4.6,1.2,Iris-versicolor
2303,5.1,3.3,1.5,0.3,Iris-setosa
2304,4.9,3.3,1.4,0.2,Iris-setosa
2305,5.4,2.9,4.2,1.3,Iris-versicolor
2306,7.6,3.6,6.4,1.9,Iris-virginica
2307,5.0,3.5,1.5,0.2,Iris-setosa
2308,7.0,3.2,6.0,1.9,Iris-virginica
2309,6.0,2.6,5.0,1.7,Iris-virginica
2310,6.0,2.5,4.3,1.3,Iris-versicolor
2311,4.8,3.5,1.5,0.4,Iris-setosa
2312,6.4,2.2,4.0,0.9,Iris-versicolor
2313,6.1,3.0,4.5,1.7,Iris-versicolor
2314,5.5,2.9,4.6,1.8,Iris-virginica
2315,4.3,2.4,3.6,1.1,Iris-versicolor
2316,7.1,3.2,5.8,2.3,Iris-virginica
2317,5.5,2.5,4.4,1.3,Iris-versicolor
2318,5.0,3.6,1.5,0.2,Iris-setosa
2319,5.4,4.0,1.3,0.3,Iris-setosa
2320,5.1,3.2,1.5,0.2,Iris-setosa
2321,6.5,3.2,5.1,1.6,Iris-versicolor
2322,4.8,3.3,1.4,0.3,Iris-setosa
2323,5.4,4.0,1.5,0.3,Iris-setosa
2324,4.8,3.4,1.5,0.1,Iris-setosa
2325,4.6,2.9,3.5,1.2,Iris-versicolor
2326,7.9,3.2,5.6,1.9,Iris-virginica
2327,6.4,2.5,5.3,1.7,Iris-virginica
2328,4.8,3.1,1.4,0.2,Iris-setosa
2329,4.9,3.3,1.8,0.2,Iris-setosa
2330,5.3,3.7,1.1,0.3,Iris-setosa
2331,6.0,2.8,4.1,1.2,Iris-versicolor
2332,7.2,3.0,6.2,2.2,Iris-virginica
2333,4.0,2.9,1.5,0.3,Iris-setosa
2334,5.5,2.4,4.1,1.1,Iris-versicolor
2335,6.0,2.1,4.6,1.2,Iris-versicolor
2336,5.5,3.1,4.1,1.7,Iris-versicolor
2337,5.1,2.1,3.1,1.1,Iris-versicolor
2338,4.6,3.2,1.5,0.1,Iris-setosa
2339,5.8,2.6,4.6,1.5,Iris-versicolor
2340,5.2,3.4,1.6,0.1,Iris-setosa
2341,6.7,3.2,5.9,2.4,Iris-virginica
2342,4.8,3.2,1.5,0.3,Iris-setosa
2343,4.6,3.5,1.3,0.1,Iris-setosa
2344,5.2,2.6,3.2,1.0,Iris-versicolor
2345,6.8,3.5,5.6,2.5,Iris-virginica
2346,7.2,3.0,5.8,2.3,Iris-virginica
2347,6.1,3.3,4.5,1.4,Iris-versicolor
2348,7.1,3.2,5.3,2.0,Iris-virginica
2349,4.5,3.0,1.2,0.1,Iris-setosa
2350,5.6,3.9,1.8,0.3,Iris-setosa
2351,6.4,2.6,5.1,2.1,Iris-virginica
2352,4.6,2.8,1.2,0.1,Iris-setosa
2353,7.4,3.3,5.8,1.9,Iris-virginica
2354,7.4,3.0,6.3,1.8,Iris-virginica
2355,5.4,3.5,1.5,0.1,Iris-setosa
2356,5.6,2.5,4.1,1.2,Iris-versicolor
2357,5.3,4.0,1.7,0.2,Iris-setosa
2358,5.5,2.4,3.3,1.0,Iris-versicolor
2359,6.1,2.9,4.8,1.6,Iris-virginica
2360,6.4,3.2,5.2,2.2,Iris-virginica
2361,6.8,3.0,5.5,2.3,Iris-virginica
2362,4.9,3.1,1.6,0.1,Iris-setosa
2363,5.9,2.7,4.8,1.9,Iris-virginica
2364,6.6,2.4,5.5,1.6,Iris-virginica
2365,5.4,2.8,4.8,1.5,Iris-versicolor
2366,5.9,2.7,4.6,1.3,Iris-versicolor
2367,4.9,3.4,1.2,0.4,Iris-setosa
2368,4.4,2.9,1.8,0.5,Iris-setosa
2369,6.1,3.4,5.0,2.2,Iris-virginica
2370,6.0,3.1,4.3,1.1,Iris-versicolor
2371,5.6,3.7,1.6,0.2,Iris-setosa
2372,7.1,3.0,6.5,2.2,Iris-virginica
2373,5.1,3.5,1.5,0.2,Iris-setosa
2374,5.5,2.3,4.5,1.7,Iris-virginica
2375,5.2,3.4,1.3,0.3,Iris-setosa
2376,5.5,3.7,1.4,0.3,Iris-setosa
2377,6.3,3.3,5.2,2.2,Iris-virginica
2378,6.0,2.8,4.0,1.2,Iris-versicolor
2379,4.2,2.4,1.4,0.2,Iris-setosa
2380,6.6,2.8,5.4,2.1,Iris-virginica
2381,6.4,3.3,4.9,1.7,Iris-versicolor
2382,4.5,3.3,1.7,0.3,Iris-setosa
2383,4.7,2.9,1.3,0.0,Iris-setosa
2384,5.6,2.7,4.7,1.4,Iris-versicolor
2385,4.3,3.0,1.5,0.3,Iris-setosa
2386,5.7,2.9,4.4,1.3,Iris-versicolor
2387,5.4,2.6,3.8,1.1,Iris-versicolor
2388,5.1,3.5,1.5,0.3,Iris-setosa
2389,4.9,2.7,1.4,0.3,Iris-setosa
2390,5.2,3.3,1.6,0.2,Iris-setosa
2391,6.2,2.4,3.9,1.2,Iris-versicolor
2392,5.9,3.0,4.2,1.4,Iris-versicolor
2393,6.1,2.5,5.0,1.5,Iris-virginica
2394,5.7,3.8,1.7,0.3,Iris-setosa
2395,7.0,2.8,6.1,1.6,Iris-virginica
2396,5.0,3.5,1.3,0.2,Iris-setosa
2397,6.6,3.3,5.5,2.3,Iris-virginica
2398,5.3,3.9,1.2,0.3,Iris-setosa
2399,5.5,4.0,1.3,0.2,Iris-setosa
2400,5.8,2.5,4.3,1.4,Iris-versicolor
2401,5.5,3.8,1.7,0.3,Iris-setosa
2402,4.7,3.0,1.5,0.2,Iris-setosa
2403,6.2,2.7,4.2,1.2,Iris-versicolor
2404,6.0,3.2,4.9,1.4,Iris-versicolor
2405,4.9,2.1,3.3,1.0,Iris-versicolor
2406,6.8,2.8,4.9,1.6,Iris-versicolor
2407,5.7,2.0,5.0,1.7,Iris-virginica
2408,5.0,3.7,1.6,0.5,Iris-setosa
2409,5.4,2.9,4.4,1.4,Iris-versicolor
2410,5.3,2.9,5.2,2.1,Iris-virginica
2411,4.6,3.1,1.2,0.1,Iris-setosa
2412,5.2,3.6,1.5,0.2,Iris-setosa
2413,7.1,3.0,6.3,1.7,Iris-virginica
2414,7.2,3.0,6.0,1.8,Iris-virginica
2415,7.7,3.5,5.6,1.9,Iris-virginica
2416,6.3,3.2,4.6,1.6,Iris-versicolor
2417,4.1,2.6,1.4,0.1,Iris-setosa
2418,4.8,3.5,1.3,0.2,Iris-setosa
2419,5.9,3.2,4.4,1.4,Iris-versicolor
2420,5.1,3.6,1.6,0.2,Iris-setosa
2421,6.4,3.2,4.9,1.4,Iris-versicolor
2422,5.5,2.4,4.0,1.1,Iris-versicolor
2423,6.7,2.6,5.5,1.7,Iris-virginica
2424,6.5,2.6,4.2,1.3,Iris-versicolor
2425,6.0,2.5,4.8,1.4,Iris-versicolor
2426,6.6,3.0,5.1,1.6,Iris-virginica
2427,8.2,2.9,6.4,1.9,Iris-virginica
2428,5.3,3.8,1.6,0.4,Iris-setosa
2429,6.3,3.0,5.5,2.0,Iris-virginica
2430,5.4,3.8,1.8,0.3,Iris-setosa
2431,5.3,3.3,1.6,0.3,Iris-setosa
2432,6.4,3.2,5.4,2.7,Iris-virginica
2433,5.7,2.6,4.3,1.0,Iris-versicolor
2434,5.7,3.2,4.1,1.4,Iris-versicolor
2435,6.6,3.1,4.6,1.3,Iris-versicolor
2436,5.1,3.3,1.3,0.3,Iris-setosa
2437,4.8,3.1,1.5,0.3,Iris-setosa
2438,7.4,2.6,6.0,2.1,Iris-virginica
2439,4.9,3.1,1.8,0.2,Iris-setosa
2440,5.5,2.6,4.6,1.4,Iris-versicolor
2441,6.9,3.0,4.7,1.4,Iris-versicolor
2442,7.7,3.6,6.5,2.4,Iris-virginica
2443,5.1,2.2,3.5,1.2,Iris-versicolor
2444,5.5,3.0,5.1,2.4,Iris-virginica
2445,4.4,3.0,1.4,0.1,Iris-setosa
2446,5.6,3.9,1.1,0.3,Iris-setosa
2447,7.1,3.1,5.7,2.3,Iris-virginica
2448,6.8,3.4,5.9,1.8,Iris-virginica
2449,7.0,2.7,5.8,1.8,Iris-virginica
2450,5.6,2.4,5.1,1.6,Iris-virginica
2451,6.2,2.4,4.7,1.5,Iris-versicolor
2452,6.8,2.6,5.5,1.9,Iris-virginica
2453,6.2,2.6,4.6,1.3,Iris-versicolor
2454,5.5,3.9,1.4,0.4,Iris-setosa
2455,6.2,3.3,5.4,2.0,Iris-virginica
2456,6.1,3.0,4.5,1.3,Iris-versicolor
2457,6.6,2.7,6.2,1.9,Iris-virginica
2458,7.5,3.2,5.8,2.1,Iris-virginica
2459,5.5,2.2,3.9,1.1,Iris-versicolor
2460,5.1,3.9,2.0,0.3,Iris-setosa
2461,4.6,3.0,1.6,0.0,Iris-setosa
2462,6.2,2.4,4.6,1.3,Iris-versicolor
2463,5.9,2.6,3.8,1.3,Iris-versicolor
2464,5.1,3.3,1.3,0.2,Iris-setosa
2465,6.3,2.9,5.0,2.2,Iris-virginica
2466,5.6,2.6,4.3,1.5,Iris-versicolor
2467,5.5,2.3,3.6,1.0,Iris-versicolor
2468,6.4,3.0,4.7,1.4,Iris-versicolor
2469,6.6,2.9,6.0,1.9,Iris-virginica
2470,4.7,3.2,1.5,0.2,Iris-setosa
2471,6.0,3.0,4.5,1.4,Iris-versicolor
2472,5.9,3.2,5.2,2.3,Iris-virginica
2473,5.5,2.7,3.4,1.1,Iris-versicolor
2474,5.2,3.6,1.4,0.2,Iris-setosa
2475,6.4,2.8,4.2,1.5,Iris-versicolor
2476,6.3,2.4,5.6,1.6,Iris-virginica
2477,5.0,2.4,3.8,1.3,Iris-versicolor
2478,5.0,3.7,1.4,0.4,Iris-setosa
2479,4.8,3.5,1.5,0.1,Iris-setosa
2480,5.8,2.6,4.7,1.9,Iris-virginica
2481,5.7,3.2,4.7,1.6,Iris-virginica
2482,5.4,2.3,4.5,1.5,Iris-versicolor
2483,6.0,2.2,4.2,0.9,Iris-versicolor
2484,4.6,3.3,1.3,0.1,Iris-setosa
2485,5.5,2.7,4.0,1.2,Iris-versicolor
2486,6.7,3.0,5.6,2.2,Iris-virginica
2487,5.0,2.3,3.2,0.9,Iris-versicolor
2488,6.3,3.2,5.4,2.3,Iris-virginica
2489,5.8,2.8,4.9,1.7,Iris-virginica
2490,4.9,3.8,1.5,0.3,Iris-setosa
2491,5.2,3.7,1.6,0.2,Iris-setosa
2492,7.2,3.5,6.7,2.0,Iris-virginica
2493,7.1,3.0,6.2,2.3,Iris-virginica
2494,6.5,2.6,5.4,1.5,Iris-virginica
2495,7.1,3.2,5.8,2.0,Iris-virginica
2496,5.7,2.7,4.1,1.5,Iris-versicolor
2497,6.3,2.6,5.0,1.7,Iris-virginica
2498,5.5,2.6,4.1,1.2,Iris-versicolor
2499,5.9,2.5,5.0,1.7,Iris-virginica
2500,5.3,3.5,1.5,0.2,Iris-setosa
2501,6.1,2.6,4.4,1.4,Iris-versicolor
2502,6.2,2.6,4.4,1.5,Iris-versicolor
2503,6.2,3.0,5.4,2.0,Iris-virginica
2504,6.6,2.9,5.6,1.7,Iris-virginica
2505,5.2,3.4,1.6,0.2,Iris-setosa
2506,6.4,3.1,4.9,2.3,Iris-virginica
2507,6.5,3.3,5.3,1.7,Iris-virginica
2508,6.7,3.6,6.0,2.4,Iris-virginica
2509,7.0,2.5,5.8,2.4,Iris-virginica
2510,5.8,3.7,1.5,0.2,Iris-setosa
2511,4.7,3.4,1.5,0.3,Iris-setosa
2512,7.0,2.9,5.4,1.9,Iris-virginica
2513,5.3,4.0,1.3,0.1,Iris-setosa
2514,5.3,3.7,1.8,0.4,Iris-setosa
2515,4.7,3.2,1.5,0.2,Iris-setosa
2516,7.3,3.6,6.1,2.2,Iris-virginica
2517,6.9,3.1,5.0,1.6,Iris-versicolor
2518,5.5,3.9,1.6,0.4,Iris-setosa
2519,6.9,3.0,6.4,2.1,Iris-virginica
2520,6.9,2.7,6.0,2.0,Iris-virginica
2521,4.7,3.4,1.4,0.2,Iris-setosa
2522,4.7,3.4,1.3,0.4,Iris-setosa
2523,4.9,3.4,1.5,0.3,Iris-setosa
2524,5.5,2.8,4.2,1.2,Iris-versicolor
2525,4.8,3.3,1.2,0.1,Iris-setosa
2526,6.0,2.9,4.3,1.2,Iris-versicolor
2527,4.7,3.4,1.1,0.3,Iris-setosa
2528,5.7,2.8,4.7,1.7,Iris-virginica
2529,5.9,4.0,1.7,0.3,Iris-setosa
2530,4.3,2.7,1.3,0.2,Iris-setosa
2531,7.0,3.3,5.5,2.4,Iris-virginica
2532,5.3,2.6,3.9,1.3,Iris-versicolor
2533,4.8,3.6,1.7,0.5,Iris-setosa
2534,4.9,3.4,1.6,0.3,Iris-setosa
2535,5.9,2.4,4.3,1.1,Iris-versicolor
2536,6.1,3.1,4.2,1.4,Iris-versicolor
2537,4.9,3.6,1.6,0.4,Iris-setosa
2538,5.2,3.7,1.4,0.4,Iris-setosa
2539,4.5,3.6,1.3,0.1,Iris-setosa
2540,7.1,3.2,6.2,2.3,Iris-virginica
2541,4.7,3.1,1.4,0.5,Iris-setosa
2542,6.9,3.2,6.0,2.2,Iris-virginica
2543,4.8,2.5,3.7,1.1,Iris-versicolor
2544,6.3,2.9,5.2,2.0,Iris-virginica
2545,6.2,2.8,4.6,1.7,Iris-virginica
2546,4.8,3.7,1.6,0.2,Iris-setosa
2547,4.6,3.1,1.5,0.2,Iris-setosa
2548,4.8,3.4,1.7,0.1,Iris-setosa
2549,5.2,3.4,1.4,0.1,Iris-setosa
2550,6.7,2.7,5.6,2.0,Iris-virginica
2551,5.1,3.7,1.2,0.2,Iris-setosa
2552,4.9,3.2,1.5,0.1,Iris-setosa
2553,5.6,2.6,4.2,1.2,Iris-versicolor
2554,7.4,3.5,6.3,2.5,Iris-virginica
2555,4.9,3.6,1.3,0.3,Iris-setosa
2556,6.3,2.8,4.8,1.6,Iris-versicolor
2557,5.6,2.4,4.7,1.4,Iris-versicolor
2558,5.8,2.6,4.2,1.3,Iris-versicolor
2559,5.1,3.4,1.6,0.3,Iris-setosa
2560,4.8,3.6,1.2,0.4,Iris-setosa
2561,6.1,3.0,4.8,1.5,Iris-versicolor
2562,6.4,2.9,4.5,1.5,Iris-versicolor
2563,6.3,2.9,5.1,1.7,Iris-virginica
2564,6.2,2.6,4.0,1.3,Iris-versicolor
2565,4.5,3.1,1.3,0.2,Iris-setosa
2566,6.4,2.5,5.6,1.9,Iris-virginica
2567,5.8,3.2,4.9,1.8,Iris-versicolor
2568,6.8,3.4,5.8,2.0,Iris-virginica
2569,7.7,3.6,6.5,2.6,Iris-virginica
2570,6.9,2.8,4.7,1.3,Iris-versicolor
2571,4.7,3.4,1.3,0.0,Iris-setosa
2572,6.8,3.5,5.9,2.1,Iris-virginica
2573,7.7,2.7,5.5,1.7,Iris-virginica
2574,6.8,3.3,5.3,2.2,Iris-virginica
2575,5.1,3.3,1.4,0.1,Iris-setosa
2576,4.7,2.9,1.5,0.2,Iris-setosa
2577,6.5,3.3,5.7,2.2,Iris-virginica
2578,5.7,2.8,3.7,1.3,Iris-versicolor
2579,5.8,2.5,5.0,1.9,Iris-virginica
2580,6.2,2.4,5.1,1.8,Iris-virginica
2581,5.6,2.7,4.0,1.2,Iris-versicolor
2582,5.2,3.3,1.5,0.3,Iris-setosa
2583,5.5,2.6,4.2,1.2,Iris-versicolor
2584,6.4,3.5,4.6,1.6,Iris-versicolor
2585,5.2,3.9,1.5,0.2,Iris-setosa
2586,5.9,3.2,4.5,1.4,Iris-versicolor
2587,6.3,3.1,5.6,2.3,Iris-virginica
2588,5.2,2.2,3.2,0.9,Iris-versicolor
2589,7.1,3.4,6.5,2.3,Iris-virginica
2590,6.1,2.9,4.5,1.4,Iris-versicolor
2591,5.2,3.3,1.6,0.2,Iris-setosa
2592,7.1,3.2,5.1,1.6,Iris-versicolor
2593,4.5,2.8,1.9,0.3,Iris-setosa
2594,6.3,2.9,5.0,2.0,Iris-virginica
2595,6.0,2.8,4.5,1.5,Iris-versicolor
2596,6.1,2.5,4.6,1.2,Iris-versicolor
2597,7.6,3.4,6.7,2.2,Iris-virginica
2598,6.1,3.0,5.0,2.1,Iris-virginica
2599,6.3,2.7,4.2,1.2,Iris-versicolor
2600,4.9,3.5,1.3,0.2,Iris-setosa
2601,4.6,2.8,1.5,0.3,Iris-setosa
2602,5.1,3.5,1.2,0.4,Iris-setosa
2603,5.9,2.6,3.7,1.1,Iris-versicolor
2604,4.2,2.7,1.2,0.1,Iris-setosa
2605,7.8,3.2,6.6,2.2,Iris-virginica
2606,4.8,2.4,1.6,0.3,Iris-setosa
2607,6.8,3.4,5.8,2.0,Iris-virginica
2608,6.5,2.7,5.6,2.0,Iris-virginica
2609,6.3,2.8,4.5,1.4,Iris-versicolor
2610,7.0,3.2,4.8,1.6,Iris-versicolor
2611,5.4,3.3,1.4,0.3,Iris-setosa
2612,7.9,3.0,6.7,2.2,Iris-virginica
2613,6.6,2.8,5.8,1.9,Iris-virginica
2614,5.7,2.4,4.0,1.1,Iris-versicolor
2615,5.0,2.6,4.5,1.7,Iris-virginica
2616,6.1,2.9,4.8,1.3,Iris-versicolor
2617,4.7,3.4,1.4,0.2,Iris-setosa
2618,6.3,3.0,4.3,1.4,Iris-versicolor
2619,6.1,3.0,4.3,1.3,Iris-versicolor
2620,6.9,3.0,5.7,1.8,Iris-virginica
2621,4.5,3.1,1.5,0.0,Iris-setosa
2622,6.5,2.9,4.4,1.2,Iris-versicolor
2623,7.6,3.4,6.1,2.2,Iris-virginica
2624,5.0,3.4,1.6,0.4,Iris-setosa
2625,4.5,3.2,1.6,0.2,Iris-setosa
2626,4.9,3.9,1.5,0.1,Iris-setosa
2627,7.3,3.3,6.7,2.0,Iris-virginica
2628,4.7,3.4,1.4,0.1,Iris-setosa
2629,7.0,3.2,5.5,2.3,Iris-virginica
2630,6.3,2.5,5.3,1.5,Iris-virginica
2631,5.9,2.4,4.6,1.7,Iris-virginica
2632,6.8,2.9,5.6,2.2,Iris-virginica
2633,4.9,3.5,1.5,0.2,Iris-setosa
2634,6.2,2.6,5.0,1.9,Iris-virginica
2635,5.2,3.8,1.3,0.2,Iris-setosa
2636,6.6,2.8,4.2,1.3,Iris-versicolor
2637,6.8,2.7,5.3,1.4,Iris-virginica
2638,5.1,3.7,1.5,0.4,Iris-setosa
2639,5.5,2.5,3.5,1.2,Iris-versicolor
2640,5.3,2.5,3.4,1.1,Iris-versicolor
2641,4.8,3.7,1.3,0.2,Iris-setosa
2642,6.5,3.3,4.3,1.4,Iris-versicolor
2643,5.6,3.8,1.7,0.6,Iris-setosa
2644,6.9,2.9,6.3,2.1,Iris-virginica
2645,6.8,2.8,4.9,1.2,Iris-versicolor
2646,5.9,4.6,1.7,0.4,Iris-setosa
2647,5.6,2.9,4.0,1.3,Iris-versicolor
2648,6.1,2.6,5.3,1.8,Iris-virginica
2649,6.6,3.2,5.8,2.1,Iris-virginica
2650,5.7,2.7,4.4,1.3,Iris-versicolor
2651,6.1,2.6,4.7,1.5,Iris-versicolor
2652,7.2,3.0,6.0,2.0,Iris-virginica
2653,4.2,2.9,1.5,0.2,Iris-setosa
2654,6.1,2.8,5.4,2.1,Iris-virginica
2655,5.0,3.5,1.4,0.3,Iris-setosa
2656,4.9,3.1,1.2,0.1,Iris-setosa
2657,5.5,3.6,1.3,0.3,Iris-setosa
2658,4.5,3.0,1.2,0.2,Iris-setosa
2659,5.8,2.9,4.3,1.5,Iris-versicolor
2660,5.7,2.7,4.8,1.6,Iris-versicolor
2661,5.2,3.3,1.5,0.3,Iris-setosa
2662,6.6,3.2,5.6,1.9,Iris-virginica
2663,5.6,2.6,3.9,1.1,Iris-versicolor
2664,5.4,4.1,1.6,0.3,Iris-setosa
2665,7.2,2.5,5.8,1.6,Iris-virginica
2666,5.9,3.1,5.0,2.4,Iris-virginica
2667,7.2,3.4,5.8,2.1,Iris-virginica
2668,7.5,2.7,6.4,1.7,Iris-virginica
2669,6.2,3.1,5.6,2.0,Iris-virginica
2670,5.8,3.0,4.4,1.5,Iris-versicolor
2671,6.0,2.7,4.0,1.2,Iris-versicolor
2672,4.7,3.4,1.4,0.1,Iris-setosa
2673,4.8,3.7,1.4,0.2,Iris-setosa
2674,5.2,3.8,1.6,0.3,Iris-setosa
2675,5.8,2.8,4.1,1.3,Iris-versicolor
2676,5.5,3.8,1.4,0.4,Iris-setosa
2677,5.9,3.0,4.2,1.2,Iris-versicolor
2678,4.8,3.2,1.4,0.2,Iris-setosa
2679,6.4,2.6,4.5,1.3,Iris-versicolor
2680,5.7,2.4,3.5,1.0,Iris-versicolor
2681,5.3,2.2,3.5,1.0,Iris-versicolor
2682,7.4,2.8,6.2,2.0,Iris-virginica
2683,5.2,3.5,1.2,0.3,Iris-setosa
2684,6.8,3.1,5.0,1.5,Iris-versicolor
2685,6.0,2.9,4.2,1.3,Iris-versicolor
2686,6.6,2.9,5.3,2.3,Iris-virginica
2687,4.6,3.5,1.4,0.3,Iris-setosa
2688,5.7,2.4,4.3,1.2,Iris-versicolor
2689,5.9,3.7,1.4,0.4,Iris-setosa
2690,5.3,4.0,1.7,0.4,Iris-setosa
2691,6.6,2.8,4.4,1.4,Iris-versicolor
2692,5.9,2.8,4.2,1.1,Iris-versicolor
2693,5.6,2.8,4.7,2.2,Iris-virginica
2694,5.4,3.1,4.5,1.9,Iris-virginica
2695,4.7,2.9,1.5,0.3,Iris-setosa
2696,5.2,3.8,1.6,0.4,Iris-setosa
2697,5.3,3.8,1.4,0.2,Iris-setosa
2698,4.6,3.0,1.5,0.3,Iris-setosa
2699,4.8,3.4,1.3,0.1,Iris-setosa
2700,4.8,3.5,1.3,0.3,Iris-setosa
2701,4.6,3.3,1.2,0.2,Iris-setosa
2702,5.7,2.6,3.8,1.3,Iris-versicolor
2703,4.5,3.6,1.3,0.4,Iris-setosa
2704,4.8,3.6,1.2,0.2,Iris-setosa
2705,6.4,3.0,4.6,1.3,Iris-versicolor
2706,4.7,3.2,1.4,0.2,Iris-setosa
2707,8.3,3.0,7.0,2.0,Iris-virginica
2708,5.1,3.7,1.5,0.3,Iris-setosa
2709,6.6,2.6,6.0,1.9,Iris-virginica
2710,5.6,2.6,4.9,2.0,Iris-virginica
2711,5.0,3.3,1.3,0.2,Iris-setosa
2712,5.8,3.0,4.5,1.3,Iris-versicolor
2713,4.6,3.2,1.3,0.1,Iris-setosa
2714,5.4,3.5,1.4,0.3,Iris-setosa
2715,4.8,3.0,1.3,0.4,Iris-setosa
2716,4.6,3.5,1.4,0.2,Iris-setosa
2717,6.4,2.8,5.9,1.9,Iris-virginica
2718,5.2,2.5,4.1,1.7,Iris-virginica
2719,5.8,3.4,1.5,0.3,Iris-setosa
2720,6.3,2.7,4.6,1.4,Iris-versicolor
2721,4.6,3.2,1.5,0.1,Iris-setosa
2722,6.6,3.0,5.2,1.7,Iris-virginica
2723,5.9,2.7,3.6,1.1,Iris-versicolor
2724,5.1,2.4,3.3,0.9,Iris-versicolor
2725,5.2,3.1,4.6,2.2,Iris-virginica
2726,4.6,2.9,1.3,0.3,Iris-setosa
2727,5.9,3.0,4.9,2.2,Iris-virginica
2728,6.3,2.8,5.3,2.0,Iris-virginica
2729,5.3,3.9,1.5,0.2,Iris-setosa
2730,6.5,2.5,5.3,1.4,Iris-virginica
2731,4.8,2.4,3.7,1.1,Iris-versicolor
2732,5.7,2.6,4.2,1.4,Iris-versicolor
2733,4.9,3.4,1.5,0.1,Iris-setosa
2734,5.6,3.7,1.3,0.4,Iris-setosa
2735,5.2,3.9,1.4,0.2,Iris-setosa
2736,6.1,2.4,5.1,1.3,Iris-virginica
2737,5.0,3.4,1.4,0.2,Iris-setosa
2738,5.2,2.2,3.8,1.1,Iris-versicolor
2739,4.9,3.6,1.3,0.2,Iris-setosa
2740,6.4,2.8,5.2,1.7,Iris-virginica
2741,5.8,3.1,4.6,1.9,Iris-virginica
2742,6.9,2.6,4.9,1.3,Iris-versicolor
2743,6.9,3.1,5.8,1.8,Iris-virginica
2744,5.1,3.7,1.4,0.3,Iris-setosa
2745,6.4,2.8,5.9,1.5,Iris-virginica
2746,4.7,3.4,1.4,0.2,Iris-setosa
2747,5.5,2.8,4.4,1.2,Iris-versicolor
2748,5.2,4.1,1.4,0.4,Iris-setosa
2749,7.4,3.5,5.9,2.3,Iris-virginica
2750,5.3,3.2,1.4,0.2,Iris-setosa
2751,5.7,3.7,1.7,0.3,Iris-setosa
2752,6.4,2.8,4.9,1.8,Iris-virginica
2753,5.8,2.5,5.2,1.7,Iris-virginica
2754,5.9,2.6,4.8,1.8,Iris-virginica
2755,5.8,2.6,4.3,1.2,Iris-versicolor
2756,6.5,2.9,5.8,2.7,Iris-virginica
2757,6.6,3.0,5.4,2.1,Iris-virginica
